# SheSafe Crime Evidence Dataset (Generated using LatinHypercube Sampling)
# Generated: 2026-02-22 23:48:27
# Method: scipy.stats.qmc.LatinHypercube with hotspot biasing
# Study Area: Norwich, UK (Lat: 52.6-52.66, Lon: 1.25-1.35)
# Date Range: 2025-08-26 to 2026-02-22 (180 days)
# Sample Size: 100 incidents
#
# Data Generation Approach:
# 1. LatinHypercube sampling for base spatial distribution
# 2. Hotspot biasing (60% cluster near known high-risk areas)
# 3. Category distribution based on UK Police statistics
# 4. Temporal patterns (recent dates weighted)
#
# Academic Justification:
# This is a SEMI-SYNTHETIC dataset modeling realistic crime geography.
# It is NOT real police data, but uses evidence-based patterns from:
# - UK Police Data API category distributions
# - Known urban crime hotspot theory
# - Environmental criminology principles
#
# Use Case:
# Demonstrates the system's ability to integrate historical crime evidence
# into route risk assessment and safety explanations.
#
latitude,longitude,category,date,severity,area_name,description
52.635679,1.304179,theft,2026-02-20,3,Chapel Field,Bicycle theft in Chapel Field area
52.644942,1.254097,robbery,2026-02-10,5,North Norwich,Phone robbery near North Norwich
52.637352,1.336738,theft,2026-02-07,4,North Norwich,Wallet stolen from North Norwich visitor
52.617738,1.299301,robbery,2026-02-02,5,St Stephens Street,Phone robbery near St Stephens Street
52.622126,1.278169,harassment,2026-02-02,3,Central Norwich,Unwanted approach reported in Central Norwich
52.617545,1.304991,assault,2026-01-23,5,St Stephens Street,Physical assault reported in St Stephens Street
52.620225,1.307485,robbery,2026-01-23,4,Central Norwich,Armed robbery at Central Norwich
52.62053,1.339917,robbery,2026-01-20,5,Central Norwich,Phone robbery near Central Norwich
52.616955,1.295266,harassment,2026-01-18,2,St Stephens Street,Verbal intimidation near St Stephens Street
52.628646,1.288064,assault,2026-01-15,4,Central Norwich,Alcohol-related assault in Central Norwich
52.637776,1.31006,theft,2026-01-15,2,Chapel Field,Wallet stolen from Chapel Field visitor
52.62006,1.299532,theft,2026-01-14,2,St Stephens Street,Wallet stolen from St Stephens Street visitor
52.626209,1.315169,theft,2026-01-08,4,St Stephens Street,Bicycle theft in St Stephens Street area
52.636052,1.292723,robbery,2026-01-06,4,Chapel Field,Phone robbery near Chapel Field
52.600918,1.330811,assault,2026-01-06,3,South Norwich,Unprovoked assault near South Norwich
52.62956,1.302431,harassment,2026-01-01,4,Norwich Railway Station,Street harassment incident in Norwich Railway Station
